critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned,douban_score
Rasha Salti ,Lebanon,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1,7.9
Avner Shavit ,Israel,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1,7.9
Farran Smith ,US,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1,8.1
E Nina ,Italy,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1,8.1
Kristin Thompson ,US,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1,8.1
Annette Insdorf ,US,Ajami,Scandar Copti and Yaron Shani,"Crime, Drama",2009,Israel,7.4,7.0
Shubhra Gupta ,India,Ankhon Dekhi,Rajat Kapoor,"Comedy, Drama",2013,India,8.0,
Kim Morgan ,US,Battle Royale,Kinji Fukasaku,"Adventure, Drama, Sci-Fi",2000,Japan,7.7,
Jake Wilson ,Australia,Blissfully Yours,Apichatpong Weerasethakul,"Drama, Romance",2002,Thailand,7.0,7.6
Ana Maria ,Brazil,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Justin Chang ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Alonso Duralde ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Uri Klein ,Israel,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Todd McCarthy ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Steve Persall ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
